frame_id,num_person,pose_1,in_bed_1,pose_2,in_bed_2,anomaly
0,2,2,0,0,1,0
1,2,2,0,0,1,0
2,2,2,0,0,1,0
3,2,2,0,0,1,0
4,2,2,0,0,1,0
5,2,2,0,0,1,0
6,2,2,0,0,1,0
7,2,2,0,0,1,0
8,2,2,0,0,1,0
9,2,2,0,0,1,0
10,2,2,0,0,1,0
11,2,2,0,0,1,0
12,2,2,0,0,1,0
13,2,2,0,0,1,0
14,2,2,0,0,1,0
15,2,2,0,0,1,0
16,3,2,0,0,1,0
17,3,2,0,0,1,0
18,3,2,0,0,1,0
19,3,2,0,0,1,0
20,3,2,0,0,1,0
21,3,2,0,0,1,0
22,3,2,0,0,1,0
23,3,2,0,0,1,0
24,3,2,0,0,1,0
25,3,2,0,0,1,0
26,3,2,0,0,1,0
27,3,2,0,0,1,0
28,3,2,0,0,1,0
29,3,2,0,0,1,0
30,3,2,0,0,1,0
31,3,2,0,0,1,0
32,3,2,0,0,1,0
33,3,2,0,0,1,0
34,3,2,0,0,1,0
35,3,2,0,0,1,0
36,3,2,0,0,1,0
37,3,2,0,0,1,0
38,3,2,0,0,1,0
39,3,2,0,0,1,0
40,3,2,0,0,1,0
41,3,2,0,0,1,0
42,3,2,0,0,1,0
43,3,2,0,0,1,0
44,3,2,0,0,1,0
45,3,2,0,0,1,0
46,3,2,0,0,1,0
47,3,2,0,0,1,0
48,3,2,0,0,1,0
49,3,2,0,0,1,0
50,3,2,0,0,1,0
51,3,2,0,0,1,0
52,3,2,0,0,1,0
53,3,2,0,0,1,0
54,3,2,0,0,1,0
55,3,2,0,0,1,0
56,3,2,0,0,1,0
57,3,2,0,0,1,0
58,3,2,0,0,1,0
59,3,2,0,0,1,0
60,3,2,0,0,1,0
61,3,2,0,0,1,0
62,3,2,0,0,1,0
63,3,2,0,0,1,0
64,3,2,0,0,1,0
65,3,2,0,0,1,0
66,3,2,0,0,1,0
67,3,2,0,0,1,0
68,3,2,0,0,1,0
69,3,2,0,0,1,0
70,3,2,0,0,1,0
71,3,2,0,0,1,0
72,3,2,0,0,1,0
73,3,2,0,0,1,0
74,3,2,0,0,1,0
75,3,2,0,0,1,0
76,3,2,0,0,1,0
77,3,2,0,0,1,0
78,3,2,0,0,1,0
79,3,2,0,0,1,0
80,3,2,0,0,1,0
81,3,2,0,0,1,0
82,3,2,0,0,1,0
83,3,2,0,0,1,0
84,3,2,0,0,1,0
85,3,2,0,0,1,0
86,2,2,0,0,1,0
87,2,2,0,0,1,0
88,2,2,0,0,1,0
89,2,2,0,0,1,0
90,2,2,0,0,1,0
91,2,2,0,0,1,0
92,2,2,0,0,1,0
93,2,2,0,0,1,0
94,2,2,0,0,1,0
95,2,2,0,0,1,0
96,2,2,0,0,1,0
97,2,2,0,0,1,0
98,2,2,0,0,1,0
99,2,2,0,0,1,0
100,2,2,0,0,1,0
101,2,2,0,0,1,0
102,2,2,0,0,1,0
103,2,2,0,0,1,0
104,2,2,0,0,1,0
105,2,2,0,0,1,0
106,2,2,0,0,1,0
107,2,2,0,0,1,0
108,2,2,0,0,1,0
109,2,2,0,0,1,0
110,2,2,0,0,1,0
111,2,2,0,0,1,0
112,3,2,0,0,1,0
113,3,2,0,0,1,0
114,3,2,0,0,1,0
115,3,2,0,0,1,0
116,3,2,0,0,1,0
117,3,2,0,0,1,0
118,3,2,0,0,1,0
119,3,2,0,0,1,0
120,3,2,0,0,1,0
121,3,2,0,0,1,0
122,3,2,0,0,1,0
123,3,2,0,0,1,0
124,3,2,0,0,1,0
125,3,2,0,0,1,0
126,3,2,0,0,1,0
127,3,2,0,0,1,0
128,3,2,0,0,1,0
129,3,2,0,0,1,0
130,3,2,0,0,1,0
131,3,2,0,0,1,0
132,3,2,0,0,1,0
133,3,2,0,0,1,0
134,3,2,0,0,1,0
135,3,2,0,0,1,0
136,3,2,0,0,1,0
137,3,2,0,0,1,0
138,3,2,0,0,1,0
139,3,2,0,0,1,0
140,3,2,0,0,1,0
141,3,2,0,0,1,0
142,3,2,0,0,1,0
143,3,2,0,0,1,0
144,3,2,0,0,1,0
145,3,2,0,0,1,0
146,3,2,0,0,1,0
147,3,2,0,0,1,0
